DATE,TIME,YEAR,MONTH,DAY,WEEKDAY,HOUR,ACCLOC,IMPACTYPE
2006-02-13,,2006,2,13,Monday,,At Intersection,Pedestrian Collisions
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-14,,2006,2,14,Tuesday,,At Intersection,Angle
2006-02-15,,2006,2,15,Wednesday,,At Intersection,Pedestrian Collisions
2006-02-15,,2006,2,15,Wednesday,,At Intersection,Pedestrian Collisions
2006-02-15,,2006,2,15,Wednesday,,At Intersection,Pedestrian Collisions
2006-02-16,,2006,2,16,Thursday,,,SMV Other
2006-02-16,,2006,2,16,Thursday,,,SMV Other
2006-02-16,,2006,2,16,Thursday,,,Pedestrian Collisions
2006-02-16,,2006,2,16,Thursday,,,Pedestrian Collisions
2006-02-16,,2006,2,16,Thursday,,,Pedestrian Collisions
2006-02-19,,2006,2,19,Sunday,,At Intersection,Pedestrian Collisions
2006-02-19,,2006,2,19,Sunday,,At Intersection,Pedestrian Collisions
2006-02-20,,2006,2,20,Monday,,,SMV Other
2006-02-20,,2006,2,20,Monday,,,SMV Other
2006-02-20,,2006,2,20,Monday,,,Pedestrian Collisions
2006-02-20,,2006,2,20,Monday,,,Pedestrian Collisions
2006-02-20,,2006,2,20,Monday,,,Pedestrian Collisions
2006-02-21,,2006,2,21,Tuesday,,At Intersection,Pedestrian Collisions
2006-02-21,,2006,2,21,Tuesday,,At Intersection,Pedestrian Collisions
2006-02-23,,2006,2,23,Thursday,,At Intersection,Turning Movement
2006-02-23,,2006,2,23,Thursday,,At Intersection,Turning Movement
2006-02-23,,2006,2,23,Thursday,,At Intersection,Turning Movement
2006-02-23,,2006,2,23,Thursday,,At Intersection,Pedestrian Collisions
2006-02-23,,2006,2,23,Thursday,,At Intersection,Pedestrian Collisions
2006-02-24,,2006,2,24,Friday,,At Intersection,Pedestrian Collisions
2006-02-24,,2006,2,24,Friday,,At Intersection,Pedestrian Collisions
2006-02-24,,2006,2,24,Friday,,At Intersection,Pedestrian Collisions
2006-02-25,,2006,2,25,Saturday,,At Intersection,Pedestrian Collisions
2006-02-25,,2006,2,25,Saturday,,At Intersection,Pedestrian Collisions
2006-02-25,,2006,2,25,Saturday,,At Intersection,Pedestrian Collisions
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-26,,2006,2,26,Sunday,,,SMV Other
2006-02-27,,2006,2,27,Monday,,,Pedestrian Collisions
2006-02-27,,2006,2,27,Monday,,,Pedestrian Collisions
2006-02-27,,2006,2,27,Monday,,,Pedestrian Collisions
2006-02-27,,2006,2,27,Monday,,At Intersection,Pedestrian Collisions
2006-02-27,,2006,2,27,Monday,,At Intersection,Pedestrian Collisions
2006-02-27,,2006,2,27,Monday,,,Cyclist Collisions
2006-02-27,,2006,2,27,Monday,,,Cyclist Collisions
2006-02-27,,2006,2,27,Monday,,,Cyclist Collisions
2006-02-28,,2006,2,28,Tuesday,,,SMV Other
2006-02-28,,2006,2,28,Tuesday,,,Pedestrian Collisions
2006-02-28,,2006,2,28,Tuesday,,,Pedestrian Collisions
2006-02-28,,2006,2,28,Tuesday,,,Pedestrian Collisions
2006-02-28,,2006,2,28,Tuesday,,,Pedestrian Collisions
2006-03-01,,2006,3,1,Wednesday,,,Cyclist Collisions
2006-03-01,,2006,3,1,Wednesday,,,Cyclist Collisions
2006-03-06,,2006,3,6,Monday,,,Pedestrian Collisions
2006-03-06,,2006,3,6,Monday,,,Pedestrian Collisions
2006-03-06,,2006,3,6,Monday,,,Pedestrian Collisions
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-06,,2006,3,6,Monday,,,Sideswipe
2006-03-08,,2006,3,8,Wednesday,,,Rear End
2006-03-08,,2006,3,8,Wednesday,,,Rear End
2006-03-08,,2006,3,8,Wednesday,,,Rear End
2006-03-08,,2006,3,8,Wednesday,,,Rear End
2006-03-08,,2006,3,8,Wednesday,,,Rear End
2006-03-11,,2006,3,11,Saturday,,At Intersection,Pedestrian Collisions
2006-03-11,,2006,3,11,Saturday,,At Intersection,Pedestrian Collisions
2006-03-11,,2006,3,11,Saturday,,At Intersection,Turning Movement
2006-03-11,,2006,3,11,Saturday,,At Intersection,Turning Movement
2006-03-12,,2006,3,12,Sunday,,,Pedestrian Collisions
2006-03-12,,2006,3,12,Sunday,,,Pedestrian Collisions
2006-03-12,,2006,3,12,Sunday,,,Pedestrian Collisions
2006-03-12,,2006,3,12,Sunday,,At Intersection,Pedestrian Collisions
2006-03-12,,2006,3,12,Sunday,,At Intersection,Pedestrian Collisions
2006-03-15,,2006,3,15,Wednesday,,At Intersection,Pedestrian Collisions
2006-03-15,,2006,3,15,Wednesday,,At Intersection,Pedestrian Collisions
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,At Intersection,Turning Movement
2006-03-16,,2006,3,16,Thursday,,,Pedestrian Collisions
2006-03-16,,2006,3,16,Thursday,,,Pedestrian Collisions
2006-03-17,,2006,3,17,Friday,,At Intersection,Pedestrian Collisions
2006-03-17,,2006,3,17,Friday,,At Intersection,Pedestrian Collisions
2006-03-17,,2006,3,17,Friday,,At Intersection,Pedestrian Collisions
2006-03-17,,2006,3,17,Friday,,At Intersection,Pedestrian Collisions
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,At Intersection,Angle
2006-03-18,,2006,3,18,Saturday,,,Approaching
2006-03-18,,2006,3,18,Saturday,,,Approaching
2006-03-19,,2006,3,19,Sunday,,,SMV Other
2006-03-19,,2006,3,19,Sunday,,,SMV Other
2006-03-19,,2006,3,19,Sunday,,,SMV Other
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-19,,2006,3,19,Sunday,,At Intersection,Angle
2006-03-20,,2006,3,20,Monday,,,Pedestrian Collisions
2006-03-20,,2006,3,20,Monday,,,Pedestrian Collisions
2006-03-20,,2006,3,20,Monday,,,Rear End
2006-03-20,,2006,3,20,Monday,,,Rear End
2006-03-20,,2006,3,20,Monday,,,Rear End
2006-03-22,,2006,3,22,Wednesday,,,SMV Unattended Vehicle
2006-03-22,,2006,3,22,Wednesday,,,SMV Unattended Vehicle
2006-03-22,,2006,3,22,Wednesday,,,SMV Unattended Vehicle
2006-03-25,,2006,3,25,Saturday,,,Turning Movement
2006-03-25,,2006,3,25,Saturday,,,Turning Movement
2006-03-25,,2006,3,25,Saturday,,,Turning Movement
2006-03-25,,2006,3,25,Saturday,,,Turning Movement
2006-03-25,,2006,3,25,Saturday,,,Turning Movement
2006-03-25,,2006,3,25,Saturday,,,Pedestrian Collisions
2006-03-25,,2006,3,25,Saturday,,,Pedestrian Collisions
2006-03-26,,2006,3,26,Sunday,,,SMV Other
2006-03-26,,2006,3,26,Sunday,,,SMV Other
2006-03-26,,2006,3,26,Sunday,,,SMV Other
2006-03-31,,2006,3,31,Friday,,,Pedestrian Collisions
2006-03-31,,2006,3,31,Friday,,,Pedestrian Collisions
2006-04-01,,2006,4,1,Saturday,,At Intersection,Sideswipe
2006-04-01,,2006,4,1,Saturday,,At Intersection,Sideswipe
2006-04-01,,2006,4,1,Saturday,,At Intersection,Sideswipe
2006-04-01,,2006,4,1,Saturday,,At Intersection,Sideswipe
2006-04-01,,2006,4,1,Saturday,,At Intersection,Sideswipe
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-01,,2006,4,1,Saturday,,,Rear End
2006-04-02,,2006,4,2,Sunday,,,SMV Other
2006-04-02,,2006,4,2,Sunday,,,SMV Other
2006-04-03,,2006,4,3,Monday,,At Intersection,Pedestrian Collisions
2006-04-03,,2006,4,3,Monday,,At Intersection,Pedestrian Collisions
2006-04-04,,2006,4,4,Tuesday,,,SMV Other
2006-04-04,,2006,4,4,Tuesday,,,SMV Other
2006-04-04,,2006,4,4,Tuesday,,At Intersection,Pedestrian Collisions
2006-04-04,,2006,4,4,Tuesday,,At Intersection,Pedestrian Collisions
2006-04-06,,2006,4,6,Thursday,,At Intersection,Cyclist Collisions
2006-04-06,,2006,4,6,Thursday,,At Intersection,Cyclist Collisions
2006-04-06,,2006,4,6,Thursday,,,Pedestrian Collisions
2006-04-06,,2006,4,6,Thursday,,,Pedestrian Collisions
2006-04-07,,2006,4,7,Friday,,,Rear End
2006-04-07,,2006,4,7,Friday,,,Rear End
2006-04-07,,2006,4,7,Friday,,,Rear End
2006-04-07,,2006,4,7,Friday,,,Rear End
2006-04-08,,2006,4,8,Saturday,,,SMV Other
2006-04-08,,2006,4,8,Saturday,,,SMV Other
2006-04-10,,2006,4,10,Monday,,At Intersection,Rear End
2006-04-10,,2006,4,10,Monday,,At Intersection,Rear End
2006-04-11,,2006,4,11,Tuesday,,At Intersection,Rear End
2006-04-11,,2006,4,11,Tuesday,,At Intersection,Rear End
2006-04-11,,2006,4,11,Tuesday,,,Sideswipe
2006-04-11,,2006,4,11,Tuesday,,,Sideswipe
2006-04-11,,2006,4,11,Tuesday,,At Intersection,Angle
2006-04-11,,2006,4,11,Tuesday,,At Intersection,Angle
2006-04-12,,2006,4,12,Wednesday,,At Intersection,Pedestrian Collisions
2006-04-12,,2006,4,12,Wednesday,,At Intersection,Pedestrian Collisions
2006-04-12,,2006,4,12,Wednesday,,At Intersection,Pedestrian Collisions
2006-04-15,,2006,4,15,Saturday,,,Pedestrian Collisions
2006-04-15,,2006,4,15,Saturday,,,Pedestrian Collisions
2006-04-15,,2006,4,15,Saturday,,,Pedestrian Collisions
2006-04-18,,2006,4,18,Tuesday,,,Approaching
2006-04-18,,2006,4,18,Tuesday,,,Approaching
2006-04-18,,2006,4,18,Tuesday,,,Approaching
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-18,,2006,4,18,Tuesday,,At Intersection,Angle
2006-04-19,,2006,4,19,Wednesday,,,Pedestrian Collisions
2006-04-19,,2006,4,19,Wednesday,,,Pedestrian Collisions
2006-04-20,,2006,4,20,Thursday,,At Intersection,Cyclist Collisions
2006-04-20,,2006,4,20,Thursday,,At Intersection,Cyclist Collisions
2006-04-20,,2006,4,20,Thursday,,At Intersection,Cyclist Collisions
2006-04-20,,2006,4,20,Thursday,,At Intersection,Cyclist Collisions
